ranking_companies,unicorn,date_joined,country,city,industry,selected_investors,value,lat,lng,capital,population,id_city,year
325,Zipline,2019-05-20,United States,South San Francisco,"Supply chain, logistics, & delivery","Sequoia Capital, Baillie Gifford & Co., Google Ventures",2.8,37.6536,-122.4197,,67789.0,1840021552,2019
326,Graphcore,2018-12-18,United Kingdom,Bristol,Artificial Intelligence,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2.77,51.45,-2.5833,,724000.0,1826921049,2018
327,Illumio,2015-04-14,United States,Sunnyvale,Cybersecurity,"Data Collective, Formation 8, General Catalyst Partners",2.75,37.3836,-122.0256,,152703.0,1840021573,2015
328,MasterClass,2021-05-13,United States,San Francisco,Edtech,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",2.75,37.7562,-122.443,,3592294.0,1840021543,2021
329,Dream Games,2021-06-30,Turkey,Istanbul,Mobile & telecommunications,"Makers Fund, Index Ventures, Inova Ventures Participacees",2.75,41.01,28.9603,admin,15154000.0,1792756324,2021
330,Transmit Security,2021-06-22,Israel,Tel Aviv-Yafo,Cybersecurity,"General Atlantic, Insight Partners, Vintage Investment Partners",2.74,32.08,34.78,admin,451523.0,1376401542,2021
331,Hozon Auto,2022-02-22,China,Shanghai,Auto & transportation,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",3.95,31.1667,121.4667,admin,22120000.0,1156073548,2022
332,Tradeshift,2018-05-30,United States,San Francisco,Fintech,"Notion Capital, Scentan Ventures, Kite Ventures",2.7,37.7562,-122.443,,3592294.0,1840021543,2018
333,Nextiva,2021-09-14,United States,Scottsdale,Internet software & services,Goldman Sachs Asset Management,2.7,33.6872,-111.8651,,258069.0,1840021940,2021
334,o9 Solutions,2020-04-28,United States,Dallas,Artificial Intelligence,KKR,2.7,32.7936,-96.7662,,5743938.0,1840019440,2020
335,Thought Machine,2021-11-29,United Kingdom,London,Fintech,"British Patient Capital, SEB Venture Capital, IQ Capital",2.7,51.5072,-0.1275,primary,10979000.0,1826645935,2021
336,BackBase,2021-06-09,Netherlands,Amsterdam,Fintech,Motive Partners,2.66,52.3667,4.8833,primary,862965.0,1528355309,2021
337,ManoMano,2021-07-05,France,Paris,E-commerce & direct-to-consumer,"General Atlantic, Piton Capital, Partech Partners",2.6,48.8566,2.3522,primary,11020000.0,1250015082,2021
338,Sourcegraph,2021-07-13,United States,San Francisco,Internet software & services,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2.62,37.7562,-122.443,,3592294.0,1840021543,2021
339,Pendo,2019-10-17,United States,Raleigh,Internet software & services,"Contour Venture Partners, Battery Ventures, Core Capital Partners",2.6,35.8325,-78.6435,admin,1038738.0,1840014497,2019
340,Plume,2021-02-23,United States,Palo Alto,Internet software & services,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",2.6,37.3913,-122.1468,,65364.0,1840020333,2021
341,Moglix,2021-05-17,Singapore,Singapore,E-commerce & direct-to-consumer,"Jungle Ventures, Accel, Venture Highway",2.6,1.3,103.8,primary,5745000.0,1702341327,2021
342,Axonius,2021-03-01,United States,New York,Cybersecurity,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",2.6,40.6943,-73.9249,,18713220.0,1840034016,2021
343,Xinchao Media,2018-04-09,China,Chengdu,Internet software & services,"JD.com, Baidu, Vision Plus Capital",2.0,30.66,104.0633,admin,11309000.0,1156421555,2018
344,JumpCloud,2021-09-13,United States,Louisville,Data management & analytics,"Foundry Group, General Atlantic, BlackRock",2.62,38.1663,-85.6485,,1005654.0,1840030815,2021
345,Unico,2021-08-03,Brazil,Sao Paulo,Artificial Intelligence,"Big Bets, General Atlantic, SOFTBANK Latin America Ventures",2.6,-23.5504,-46.6339,admin,22046000.0,1076532519,2021
346,Oura,2022-04-05,Finland,Oulu,Health,"Forerunner Ventures, Lifeline Ventures, MSD Capital",2.55,65.0142,25.4719,admin,200526.0,1246093273,2022
